GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment5_code,org.example.Amazon,ShoppingCartAdaptor,117,0,2,0,24,0,8,0,7,0
Assignment5_code,org.example.Amazon,Database,71,0,4,0,26,0,10,0,8,0
Assignment5_code,org.example.Amazon,Item,27,0,0,0,10,0,5,0,5,0
Assignment5_code,org.example.Amazon,Amazon,38,0,2,0,11,0,4,0,3,0
Assignment5_code,org.example.Barnes,Book,4,46,3,3,0,12,3,5,0,5
Assignment5_code,org.example.Barnes,PurchaseSummary,0,33,0,0,0,10,0,5,0,5
Assignment5_code,org.example.Barnes,BarnesAndNoble,0,71,0,6,0,17,0,6,0,3
Assignment5_code,org.example.Amazon.Cost,ExtraCostForElectronics,22,0,4,0,5,0,5,0,3,0
Assignment5_code,org.example.Amazon.Cost,DeliveryPrice,28,0,10,0,9,0,7,0,2,0
Assignment5_code,org.example.Amazon.Cost,ItemType,15,0,0,0,3,0,1,0,1,0
Assignment5_code,org.example.Amazon.Cost,RegularCost,27,0,2,0,6,0,3,0,2,0
